"id";"cust_name";"device_name";"ip";"mac";"rssi";"snr";"ccq_tx";"ccq_rx";"uptime";"time_st";"mk_time";"extra";"comment";"dummy";"ap_id";"distance";"uptime_sec";"cust_id";"loc_id"
1;"tskuditis1";"1.58.1_A";"10.100.10.102";"00:15:6D:6B:F1:5A";"-67";"31";"99";"50";"12w18h19m55s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411AH^";"";2;"7";"2034";745;"10"
2;"gbenbassat";"1.58.1_A";"10.100.10.104";"4C:5E:0C:8C:CF:FE";"-67";"31";"80";"38";"9w6d2h44m20s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"N^QRT5^";"";2;"7";"1659";13;"10"
3;"dcorbo";"1.58.1_A";"10.100.10.169";"E4:8D:8C:F5:A0:47";"-75";"23";"60";"23";"9w6d2h41m58s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"N^MKZeo^";"";2;"7";"1659";14;"10"
4;"afinch_jodwyer";"1.58.1_A";"10.100.10.139";"E4:8D:8C:F4:B1:B3";"-68";"30";"90";"38";"9w6d2h41m54s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"N^QRT5^";"";2;"7";"1659";11;"10"
5;"awang";"1.58.1_A";"10.100.10.157";"00:15:6D:68:1E:E7";"-67";"31";"94";"34";"9w6d2h41m35s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"8";"1659";18;"10"
6;"skorotklov";"1.58.1_A";"10.100.10.170";"00:15:6D:6C:77:F4";"-67";"31";"67";"28";"4w2d7h48m27s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^411GL^";"";2;"7";"728";16;"10"
7;"malbo";"1.58.1_A";"10.100.10.109";"00:15:6D:68:0C:E2";"-65";"33";"92";"36";"4w2d4h49m34s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"725";12;"10"
8;"asolovianenko";"1.58.1_A";"10.100.10.103";"E4:8D:8C:06:15:F4";"-69";"29";"94";"49";"4w2d4h45m48s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"N^QRT5^";"";2;"7";"725";15;"10"
9;"pli";"1.58.1_A";"10.100.10.161";"E4:8D:8C:FE:F8:7E";"-65";"33";"72";"23";"4w4h18m41s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"N^QRT5^";"";2;"7";"676";4;"10"
10;"clalonde";"1.58.1_A";"10.100.10.110";"00:15:6D:6B:C0:10";"-65";"33";"99";"35";"4w4h18m24s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"676";8;"10"
11;"cross";"1.58.1_A";"10.100.10.107";"00:15:6D:67:B6:3D";"-73";"25";"67";"26";"4w4h18m23s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"676";3;"10"
12;"kginn";"1.58.1_A";"10.100.10.121";"00:15:6D:69:67:5F";"-62";"36";"93";"19";"4w4h18m17s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"676";2;"10"
13;"dsaunders";"1.58.1_A";"10.100.10.145";"00:15:6D:6C:B2:5B";"-70";"28";"74";"40";"4w4h18m14s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"676";17;"10"
14;"mmoskaltcova";"1.58.1_A";"10.100.10.119";"00:15:6D:64:A2:24";"-74";"24";"71";"25";"3w5d18h14m59s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"7";"642";9;"10"
15;"halexander";"1.58.1_A";"10.100.10.164";"00:15:6D:68:1E:FB";"-70";"28";"93";"34";"2w4d21h34m24s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"A^RB411^";"";2;"2";"454";7;"10"
16;"shissink";"1.58.1_A";"10.100.10.172";"6C:3B:6B:A8:3E:05";"-65";"33";"56";"56";"1w4d20h13m24s";"2018-12-04 14:50:00.000000";"2018-12-04 14:30:00.000000";"";"NAC^QRT5AC^";"";2;"7";"284";10;"10"
17;"amanning";"1.58.3_A__lowsect";"10.100.10.171";"6C:3B:6B:4A:27:F8";"-77";"12";"72";"61";"8w1d17h45m51s";"2018-12-04 14:50:00.000000";"2018-12-04 14:47:00.000000";"";"N^QRT5^";"";1;"7";"1386";1;"10"
18;"spantusa";"13-24-1_BG_";"10.103.130.116";"E4:8D:8C:3C:CC:5A";"-67";"26";"81";"100";"1w3d2h52m12s";"2018-12-04 14:50:00.000000";"2018-12-04 14:25:00.000000";"";"BGN^MKZ";"";115;"0";"243";21;"130"
19;"cmcneil";"13-24-1_BG_";"10.103.130.117";"64:D1:54:21:D4:99";"-47";"46";"100";"100";"1w3d2h52m11s";"2018-12-04 14:50:00.000000";"2018-12-04 14:25:00.000000";"";"BGN^QRT2";"";115;"0";"243";20;"130"

